County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Johnson County,Illinois,12582,42.2,10141,2167,7018,5564,"(37.450049999999997, -88.866730000000004)"
Kane County,Illinois,515269,34.5,366079,49690,256815,258454,"(41.950029999999998, -88.433409999999995)"
Kankakee County,Illinois,113449,36.700000000000003,84695,15237,55731,57718,"(41.150030000000001, -87.866709999999998)"
Kendall County,Illinois,114736,32.9,78670,8382,56821,57915,"(41.583359999999999, -88.433400000000006)"
Knox County,Illinois,52919,42,42039,9762,26582,26337,"(40.933369999999996, -90.200119999999998)"
Lake County,Illinois,703462,36.700000000000003,510790,73093,351119,352343,"(42.333359999999999, -88.000630000000001)"
LaSalle County,Illinois,113924,41,87706,18678,56872,57052,"(41.2667, -88.883409999999998)"
Lawrence County,Illinois,16833,39.700000000000003,13626,2683,9423,7410,"(38.700049999999997, -87.71669)"
Lee County,Illinois,36031,42,28297,5644,18910,17121,"(41.750590000000003, -89.283429999999996)"
Livingston County,Illinois,38950,40.799999999999997,30192,6142,19526,19424,"(40.866700000000002, -88.516720000000007)"
Logan County,Illinois,30305,39.4,24243,4760,15368,14937,"(40.133380000000002, -89.366759999999999)"
McDonough County,Illinois,32612,28.9,27369,4644,16330,16282,"(40.466709999999999, -90.666799999999995)"
McHenry County,Illinois,308760,38,224585,31320,153936,154824,"(42.333350000000003, -88.466759999999994)"
McLean County,Illinois,169572,32.1,131160,17340,82329,87243,"(40.483370000000001, -88.833399999999997)"
Macon County,Illinois,110768,40.299999999999997,85484,18142,52950,57818,"(39.866700000000002, -88.966750000000005)"
Macoupin County,Illinois,47765,41.7,36990,8171,23548,24217,"(39.266710000000003, -89.933440000000004)"
Madison County,Illinois,269282,38.6,208036,38428,131578,137704,"(38.833379999999998, -89.900099999999995)"
Marion County,Illinois,39437,41.4,30199,6923,19181,20256,"(38.65005, -88.933390000000003)"
Marshall County,Illinois,12640,44.8,9898,2468,6226,6414,"(41.033369999999998, -89.366759999999999)"
Mason County,Illinois,14666,44,11439,2805,7198,7468,"(40.250599999999999, -89.883449999999996)"
Massac County,Illinois,15429,42.1,11911,2838,7374,8055,"(37.23339, -88.73339)"
Menard County,Illinois,12705,42.6,9704,1978,6181,6524,"(40.016719999999999, -89.783439999999999)"
Mercer County,Illinois,16434,43.7,12714,3001,8125,8309,"(41.200029999999998, -90.750699999999995)"
Monroe County,Illinois,32957,41,24886,4658,16282,16675,"(38.283389999999997, -90.183449999999993)"
Montgomery County,Illinois,30104,41.9,23718,5199,15745,14359,"(39.233379999999997, -89.450090000000003)"
Morgan County,Illinois,35547,40.799999999999997,27960,5935,17861,17686,"(39.716709999999999, -90.216790000000003)"
Moultrie County,Illinois,14846,40.299999999999997,11145,2618,7212,7634,"(39.633369999999999, -88.633399999999995)"
Ogle County,Illinois,53497,40.700000000000003,40253,8122,26523,26974,"(42.033360000000002, -89.316770000000005)"
Peoria County,Illinois,186494,36.799999999999997,141601,25963,90247,96247,"(40.7667, -89.766769999999994)"
Perry County,Illinois,22350,39.4,17717,3515,12114,10236,"(38.083379999999998, -89.366749999999996)"
Piatt County,Illinois,16729,42.6,12722,2713,8271,8458,"(40.000590000000003, -88.583399999999997)"
Pike County,Illinois,16430,42.5,12718,3136,8198,8232,"(39.600050000000003, -90.816800000000001)"
Pope County,Illinois,4470,46.6,3656,965,2356,2114,"(37.416719999999998, -88.56671)"
Pulaski County,Illinois,6161,43.2,4756,1124,2943,3218,"(37.216720000000002, -89.150080000000003)"
Putnam County,Illinois,6006,45.2,4727,1069,3035,2971,"(41.200040000000001, -89.283420000000007)"
Randolph County,Illinois,33476,41,26845,5340,18378,15098,"(38.066719999999997, -89.850099999999998)"
Richland County,Illinois,16233,42.1,12625,3110,7957,8276,"(38.716709999999999, -88.100040000000007)"
Rock Island County,Illinois,147546,40,114359,23881,72375,75171,"(41.450029999999998, -90.516800000000003)"
St. Clair County,Illinois,270056,36.9,201468,33810,129976,140080,"(39.400039999999997, -88.7834)"
Saline County,Illinois,24913,41.7,19209,4585,12170,12743,"(37.766710000000003, -88.550049999999999)"
Sangamon County,Illinois,197465,39.200000000000003,150649,27362,94780,102685,"(39.766719999999999, -89.650099999999995)"
Schuyler County,Illinois,7544,43.6,5964,1398,3933,3611,"(40.15005, -90.600129999999993)"
Scott County,Illinois,5355,42.7,4083,966,2619,2736,"(39.65005, -90.466790000000003)"
Shelby County,Illinois,22363,43.5,17311,4232,11138,11225,"(39.400039999999997, -88.7834)"
Stark County,Illinois,5994,43.8,4583,1194,2923,3071,"(41.10004, -89.8001)"
Stephenson County,Illinois,47711,43.1,36900,8958,23146,24565,"(42.350020000000001, -89.666780000000003)"
Tazewell County,Illinois,135394,39.799999999999997,103558,21139,66719,68675,"(40.533369999999998, -89.5501)"
Union County,Illinois,17808,42.9,13980,3235,8882,8926,"(37.450049999999997, -89.250640000000004)"
Vermilion County,Illinois,81625,39.799999999999997,61697,13302,40470,41155,"(40.166699999999999, -87.750579999999999)"
Wabash County,Illinois,11947,42,9299,2132,5846,6101,"(38.450049999999997, -87.850030000000004)"
Warren County,Illinois,17707,39.6,13788,3016,8601,9106,"(40.85004, -90.616799999999998)"
Washington County,Illinois,14716,42.3,11458,2503,7373,7343,"(38.350050000000003, -89.433419999999998)"
Wayne County,Illinois,16760,42.9,12980,3259,8258,8502,"(38.43338, -88.416709999999995)"
White County,Illinois,14665,45.2,11600,3074,7085,7580,"(38.083379999999998, -88.166700000000006)"
Whiteside County,Illinois,58498,41.8,44758,10247,28715,29783,"(41.750590000000003, -89.916780000000003)"
Will County,Illinois,677560,35.4,480606,62814,336556,341004,"(41.433369999999996, -87.966719999999995)"
Williamson County,Illinois,66357,40.1,51665,10837,32824,33533,"(37.733379999999997, -88.933400000000006)"
Winnebago County,Illinois,295266,38.299999999999997,221686,40715,144327,150939,"(42.350020000000001, -89.183440000000004)"
Woodford County,Illinois,38664,39.6,28674,5722,19100,19564,"(40.7667, -89.233419999999995)"
Adams County,Indiana,34387,34,23673,4750,16999,17388,"(40.745049999999999, -84.936909999999997)"
Allen County,Indiana,355329,35.299999999999997,259371,42137,173221,182108,"(41.070599999999999, -85.014409999999998)"
Bartholomew County,Indiana,76794,38.200000000000003,57434,10731,37936,38858,"(39.201439999999998, -85.921379999999999)"
Benton County,Indiana,8854,40.1,6570,1394,4385,4469,"(40.616700000000002, -87.320849999999993)"
Blackford County,Indiana,12766,42.4,9852,2268,6292,6474,"(40.451149999999998, -85.369969999999995)"
Boone County,Indiana,56640,38.6,40723,6644,27864,28776,"(40.048369999999998, -86.469170000000005)"
Brown County,Indiana,15242,46.7,12070,2620,7565,7677,"(39.207270000000001, -86.251099999999994)"
Carroll County,Indiana,20155,40.9,15198,3182,10100,10055,"(40.547260000000001, -86.524439999999998)"
Cass County,Indiana,38966,38.700000000000003,28873,5874,19478,19488,"(40.754480000000001, -86.356669999999994)"
Clark County,Indiana,110232,37.9,84123,14055,53979,56253,"(38.483400000000003, -85.761349999999993)"
Clay County,Indiana,26890,39.9,20449,4051,13234,13656,"(39.416989999999998, -87.077240000000003)"
Clinton County,Indiana,33224,37.5,24375,4776,16426,16798,"(40.27948, -86.510840000000002)"
Crawford County,Indiana,10713,41.8,8218,1608,5436,5277,"(38.334499999999998, -86.464150000000004)"
Daviess County,Indiana,31648,35.4,22528,4461,15770,15878,"(38.662550000000003, -87.046120000000002)"
Dearborn County,Indiana,50047,40,37532,6567,24870,25177,"(39.168109999999999, -84.911900000000003)"
Decatur County,Indiana,25740,38.700000000000003,19180,3717,12750,12990,"(39.337269999999997, -85.483580000000003)"
DeKalb County,Indiana,42223,38.1,31087,5540,20942,21281,"(41.366990000000001, -85.058859999999996)"
Delaware County,Indiana,117671,34.799999999999997,94098,17277,56606,61065,"(40.193379999999998, -85.386359999999996)"
Dubois County,Indiana,41889,39.9,31220,6079,20625,21264,"(38.346440000000001, -86.889719999999997)"
Elkhart County,Indiana,197559,34.9,141384,23962,97458,100101,"(41.582270000000001, -85.834440000000001)"
Fayette County,Indiana,24277,40.799999999999997,18459,4044,11891,12386,"(39.751440000000002, -85.251350000000002)"
Floyd County,Indiana,74578,39.1,56647,9660,36136,38442,"(38.324509999999997, -85.873580000000004)"
Fountain County,Indiana,17240,41.6,13066,3043,8534,8706,"(40.11309, -87.262510000000006)"
Franklin County,Indiana,23087,40,17054,3261,11540,11547,"(39.423110000000001, -85.012739999999994)"
Fulton County,Indiana,20836,40.299999999999997,15673,3428,10359,10477,"(41.06476, -86.215829999999997)"
Gibson County,Indiana,33503,39.9,25358,5122,16576,16927,"(38.355319999999999, -87.567520000000002)"
Grant County,Indiana,70061,39.5,54892,11373,33687,36374,"(40.558369999999996, -85.659139999999994)"
Greene County,Indiana,33165,41.1,25282,5317,16557,16608,"(39.026989999999998, -86.937510000000003)"
Hamilton County,Indiana,274569,35.6,191631,23689,133988,140581,"(40.045589999999997, -86.008600000000001)"
Hancock County,Indiana,70002,39.1,51664,8937,34386,35616,"(39.785040000000002, -85.769419999999997)"
Harrison County,Indiana,39364,40.200000000000003,30057,5451,19680,19684,"(38.212009999999999, -86.121920000000003)"
Hendricks County,Indiana,145448,36.700000000000003,105540,15569,72494,72954,"(39.760599999999997, -86.526390000000006)"
Henry County,Indiana,49462,41.4,38418,8001,25087,24375,"(39.928939999999997, -85.370249999999999)"
Howard County,Indiana,82752,40.700000000000003,63167,13441,39787,42965,"(40.486429999999999, -86.133600000000001)"
Huntington County,Indiana,37124,39,28329,5466,18239,18885,"(40.883099999999999, -85.497479999999996)"
Jackson County,Indiana,42376,38.700000000000003,31960,6068,21093,21283,"(38.87894, -86.041920000000005)"
Jasper County,Indiana,33478,38,24884,4702,16666,16812,"(41.041429999999998, -87.151409999999998)"
Jay County,Indiana,21253,39,15609,3267,10486,10767,"(40.434489999999997, -84.97775)"
Jefferson County,Indiana,32428,39.700000000000003,25094,4742,15634,16794,"(38.8095, -85.453569999999999)"
Jennings County,Indiana,28525,38.4,20995,3601,14288,14237,"(38.984780000000001, -85.609409999999997)"
Johnson County,Indiana,139654,36.799999999999997,102754,17174,68697,70957,"(39.480609999999999, -86.054990000000004)"
Knox County,Indiana,38440,38.5,30248,6062,19338,19102,"(38.75949, -87.415570000000002)"
Kosciusko County,Indiana,77358,37.700000000000003,57541,10473,38466,38892,"(41.238100000000003, -85.853049999999996)"
LaGrange County,Indiana,37128,30.4,24322,4292,18728,18400,"(41.641719999999999, -85.416650000000004)"
Lake County,Indiana,496005,37.4,368732,65870,239383,256622,"(41.416980000000002, -87.365309999999994)"
LaPorte County,Indiana,111467,39.6,86085,15867,57641,53826,"(41.610599999999998, -86.722520000000003)"
Lawrence County,Indiana,46134,41.6,35262,7562,22803,23331,"(38.861159999999998, -86.487210000000005)"
Madison County,Indiana,131636,39.200000000000003,101247,20234,65766,65870,"(40.193649999999998, -85.681640000000002)"
Marion County,Indiana,903393,33.9,676888,96102,435687,467706,"(39.768380000000001, -86.155540000000002)"
Marshall County,Indiana,47051,38.4,34402,6904,23282,23769,"(41.34366, -86.309730000000002)"
Martin County,Indiana,10334,41.8,7853,1625,5223,5111,"(38.666440000000001, -86.791110000000003)"
Miami County,Indiana,36903,39.5,28510,5148,19687,17216,"(40.75365, -86.068879999999993)"
Monroe County,Indiana,137974,27.7,115503,14047,68840,69134,"(39.165320000000001, -86.526390000000006)"
Montgomery County,Indiana,38124,39.4,28985,5928,19205,18919,"(40.041150000000002, -86.874449999999996)"
Morgan County,Indiana,68894,39.9,51566,8919,34164,34730,"(39.42783, -86.428330000000003)"
Newton County,Indiana,14244,42.4,10965,2370,7194,7050,"(41.013919999999999, -87.449200000000005)"
Noble County,Indiana,47536,37.1,34686,5941,23785,23751,"(41.395600000000002, -85.424419999999998)"
Ohio County,Indiana,6128,43.7,4828,1019,3033,3095,"(38.948950000000004, -84.853840000000005)"
Orange County,Indiana,19840,40.799999999999997,14953,3132,9861,9979,"(38.556170000000002, -86.468320000000006)"
Owen County,Indiana,21575,42.4,16564,3192,10818,10757,"(39.312539999999998, -86.866119999999995)"
Parke County,Indiana,17339,41.3,13626,2709,8123,9216,"(39.762540000000001, -87.229179999999999)"
Perry County,Indiana,19338,40.4,15195,2935,10249,9089,"(38.103949999999998, -86.583320000000001)"
Pike County,Indiana,12845,42.8,9965,2175,6419,6426,"(38.382269999999998, -87.212789999999998)"
Porter County,Indiana,164343,38.4,124422,20363,80764,83579,"(41.473089999999999, -87.061139999999995)"
Posey County,Indiana,25910,41.6,19772,3731,12893,13017,"(38.043379999999999, -87.839190000000002)"
Pulaski County,Indiana,13402,41.7,10204,2244,6767,6635,"(41.051430000000003, -86.603059999999999)"
Putnam County,Indiana,37963,37.9,29967,5131,20051,17912,"(39.644489999999998, -86.864729999999994)"
Randolph County,Indiana,26171,40.799999999999997,19788,4475,12910,13261,"(40.171990000000001, -84.981350000000006)"
Ripley County,Indiana,28818,39.200000000000003,21228,4281,14215,14603,"(39.072000000000003, -85.251900000000006)"
Rush County,Indiana,17392,40.6,13085,2741,8577,8815,"(39.609209999999997, -85.446359999999999)"
St. Joseph County,Indiana,266931,36.200000000000003,201080,35565,129412,137519,"(38.014769999999999, -87.036389999999997)"
Scott County,Indiana,24181,39.299999999999997,18369,3245,11951,12230,"(38.685609999999997, -85.770250000000004)"
Shelby County,Indiana,44436,39.9,33591,6188,22020,22416,"(39.521439999999998, -85.776920000000004)"
Spencer County,Indiana,20952,41.9,15889,3145,10542,10410,"(38.014769999999999, -87.036389999999997)"
Starke County,Indiana,23363,40.4,17667,3575,11536,11827,"(41.295879999999997, -86.625010000000003)"
Steuben County,Indiana,34185,40.200000000000003,26350,5090,17250,16935,"(41.634770000000003, -84.999409999999997)"
Sullivan County,Indiana,21475,39.799999999999997,16885,3186,11668,9807,"(39.095320000000001, -87.405850000000001)"
Switzerland County,Indiana,10613,39.1,7891,1549,5412,5201,"(38.836449999999999, -85.03134)"
Tippecanoe County,Indiana,172780,27.7,137063,16379,88040,84740,"(40.417259999999999, -86.890559999999994)"
Tipton County,Indiana,15936,42.6,12233,2738,7846,8090,"(40.282260000000001, -86.0411)"
Union County,Indiana,7516,40.299999999999997,5631,1087,3714,3802,"(39.635599999999997, -84.931070000000005)"
Vanderburgh County,Indiana,179703,37.5,139807,25896,86671,93032,"(38.082819999999998, -87.550569999999993)"
Vermillion County,Indiana,16212,41.9,12468,2736,8021,8191,"(39.8842, -87.408630000000002)"
Vigo County,Indiana,107848,36.1,84799,14511,54545,53303,"(39.466700000000003, -87.413910000000001)"
Wabash County,Indiana,32888,41.2,25429,5952,15974,16914,"(40.854489999999998, -85.791650000000004)"
Warren County,Indiana,8508,42.4,6512,1412,4269,4239,"(40.28837, -87.293899999999994)"
Warrick County,Indiana,59689,39.700000000000003,44258,7958,29402,30287,"(38.049210000000002, -87.274169999999998)"
Washington County,Indiana,28262,39.200000000000003,21136,3827,14113,14149,"(38.605609999999999, -86.099980000000002)"
Wayne County,Indiana,68917,40.200000000000003,53034,11329,33463,35454,"(39.817819999999998, -84.996350000000007)"
Wells County,Indiana,27636,40.200000000000003,20737,4340,13602,14034,"(40.738660000000003, -85.171639999999996)"
White County,Indiana,24643,41.9,18683,4230,12120,12523,"(40.749479999999998, -86.871679999999998)"
Whitley County,Indiana,33292,40.1,25109,4649,16553,16739,"(41.157269999999997, -85.488309999999998)"
Adair County,Iowa,7682,45.3,5957,1644,3807,3875,"(41.333320000000001, -94.466909999999999)"
Adams County,Iowa,4029,46.7,3180,860,1994,2035,"(41.033320000000003, -94.700249999999997)"
Allamakee County,Iowa,14330,44,11020,2803,7310,7020,"(43.28331, -91.366799999999998)"
Appanoose County,Iowa,12887,44.2,9993,2592,6271,6616,"(40.750570000000003, -92.866860000000003)"
Audubon County,Iowa,6119,47,4780,1419,2957,3162,"(41.683320000000002, -94.900260000000003)"
Benton County,Iowa,26076,40.9,19430,4015,13027,13049,"(42.066659999999999, -92.066850000000002)"
Black Hawk County,Iowa,131090,34.4,102594,18131,63708,67382,"(42.466650000000001, -92.316850000000002)"
Boone County,Iowa,26306,40.799999999999997,20027,4194,13202,13104,"(42.033320000000003, -93.93356)"
Bremer County,Iowa,24276,39.299999999999997,18763,4192,11869,12407,"(42.766649999999998, -92.316850000000002)"
Buchanan County,Iowa,20958,39,15282,3205,10401,10557,"(42.466650000000001, -91.850170000000006)"
Buena Vista County,Iowa,20260,37.1,15204,3055,10142,10118,"(42.733310000000003, -95.150270000000006)"
Butler County,Iowa,14867,43.8,11364,2944,7337,7530,"(42.733310000000003, -92.783529999999999)"
Calhoun County,Iowa,9670,47.8,7618,2292,4697,4973,"(42.383310000000002, -94.650260000000003)"
Carroll County,Iowa,20816,42.3,15640,3874,10141,10675,"(42.033320000000003, -94.883600000000001)"
Cass County,Iowa,13956,45.1,10768,2924,6819,7137,"(41.333320000000001, -94.933599999999998)"
Cedar County,Iowa,18499,42.4,13962,3093,9151,9348,"(41.766689999999997, -91.133489999999995)"
Cerro Gordo County,Iowa,44151,43.3,34660,7919,21542,22609,"(43.083300000000001, -93.266869999999997)"
Cherokee County,Iowa,12072,47,9517,2604,5954,6118,"(42.733319999999999, -95.616950000000003)"
Chickasaw County,Iowa,12439,43.7,9404,2376,6255,6184,"(43.06664, -92.316839999999999)"
Clarke County,Iowa,9286,40.200000000000003,6940,1549,4626,4660,"(41.033329999999999, -93.783550000000005)"
Clay County,Iowa,16667,42.5,12837,3066,8171,8496,"(43.083300000000001, -95.150270000000006)"
Clayton County,Iowa,18129,45,13925,3504,9079,9050,"(42.833320000000001, -91.366799999999998)"
Clinton County,Iowa,49116,41.4,37526,8267,24165,24951,"(41.883360000000003, -90.550139999999999)"
Crawford County,Iowa,17096,38.4,12580,2793,8685,8411,"(42.033320000000003, -95.383610000000004)"
Dallas County,Iowa,66135,34.299999999999997,46914,6476,32349,33786,"(41.683320000000002, -94.050229999999999)"
Davis County,Iowa,8753,38.6,6203,1493,4340,4413,"(40.750579999999999, -92.416849999999997)"
Decatur County,Iowa,8457,38.200000000000003,6539,1533,4238,4219,"(40.75056, -93.783559999999994)"
Delaware County,Iowa,17764,42.1,13281,2944,8875,8889,"(42.466659999999997, -91.366810000000001)"
Des Moines County,Iowa,40325,41.5,30982,7096,19600,20725,"(40.916699999999999, -91.183480000000003)"
Dickinson County,Iowa,16667,48.1,13440,3712,8260,8407,"(43.383299999999998, -95.150270000000006)"
Dubuque County,Iowa,93653,38.6,71401,14355,46132,47521,"(42.483330000000002, -90.866799999999998)"
Emmet County,Iowa,10302,41,7932,1939,5143,5159,"(43.374400000000001, -94.666929999999994)"
Fayette County,Iowa,20880,43.2,16189,4055,10432,10448,"(42.86665, -91.850160000000002)"
Floyd County,Iowa,16303,43.3,12412,3263,7989,8314,"(43.06664, -92.783529999999999)"
Franklin County,Iowa,10680,42.8,8133,2037,5380,5300,"(42.733310000000003, -93.266869999999997)"
Fremont County,Iowa,7441,45.1,5742,1456,3695,3746,"(40.75056, -95.600269999999995)"
Greene County,Iowa,9336,45.6,7180,1951,4613,4723,"(42.033320000000003, -94.40025)"
Grundy County,Iowa,12453,43,9488,2342,6156,6297,"(42.399979999999999, -92.800200000000004)"
Guthrie County,Iowa,10954,44.8,8333,2178,5443,5511,"(41.683320000000002, -94.500799999999998)"
Hamilton County,Iowa,15673,42.3,11904,2835,7792,7881,"(42.383310000000002, -93.716880000000003)"
Hancock County,Iowa,11341,44.8,8683,2166,5656,5685,"(43.083289999999998, -93.716880000000003)"
Hardin County,Iowa,17534,43.7,13486,3675,8717,8817,"(42.383319999999998, -93.25076)"
Harrison County,Iowa,14928,42.9,11333,2659,7348,7580,"(41.683320000000002, -95.783619999999999)"
Henry County,Iowa,20145,40.200000000000003,15476,3228,10310,9835,"(40.983359999999998, -91.550160000000005)"
Howard County,Iowa,9566,42.1,7154,1847,4746,4820,"(43.349969999999999, -92.316839999999999)"
